# Symbol -> (SymbolCategory, Iterator) mappings for call-stack frame classification.
#
# Pipe-delimited: Module|Class|Function|Category|Iterator. Lines starting with # and blank lines are ignored.
#   - Matching per field: "CQScan" = exact (case-insensitive), "CQScan*" = starts-with, "*Scan" = ends-with,
#     "*CQScan*" = contains, "*" = any.
#   - Category must be a SymbolCategory enum name. Iterator is the plan-operator badge text (blank = none).
#   - The most specific matching rule wins: an exact field beats any glob, a longer glob beats a shorter one, and
#     function is weighted highest and breaks ties.
Module|Class|Function|Category|Iterator
*|ReadOnlyXact*|*|TransactionManagement|
*|SqlAutoReadOnlyXact*|*|TransactionManagement|
*|SqlAutoSimpleXact*|*|TransactionManagement|

*|AllocScan*|*|AllocationAccess|
*|AllocationOrderPageScanner*|*|AllocationAccess|

*|CMED*|*|Metadata|
*|CSQLStrings*|*|Metadata|
*|IMetadataAccess*|*|Metadata|
*|ECatBits*|*|Metadata|
*|QOMetadataLoader*|*|Metadata|
*|CMIterExtProp*|*|Metadata|
*|FLookupExtProperty*|*|Metadata|
*|ObtainExternalStreamingMetadata*|*|Metadata|

*|COpt*|*|Optimization|
*|CRelOp*|*|Optimization|
*|CAlg*|*|Optimization|
*|CRangeTable*|*|Optimization|
*|CEnvCollection*|*|Optimization|
*|COptExpr*|*|Optimization|
*|Pqo*|*|Optimization|
*|CQOS*|*|Optimization|
*|CLogOp*|*|Optimization|
*|CQuery*|*|Optimization|
*|CXteBuilder*|*|Optimization|

*|CCompPlan*|*|Compilation|
*|CStmt*|*|Compilation|
*|IUPController*|*|Compilation|
*|CProcHdr*|*|Compilation|

*|CAlgTableMetadata*|*|QueryBinding|

*|CRcsSecurityInfo*|*|Security|

*|CQDS*|*|QueryStore|
*|CDBQDS*|*|QueryStore|
*|CLAQFeedbackManager*|*|QueryStore|
*|CQDSHintsApplier*|*|QueryStore|
*|GetFeedback*|*|QueryStore|
*|StoreStatementPlan*|*|QueryStore|
*|GetOriginalQueryHash*|*|QueryStore|
*|GetPlanOrOptReplayScriptToForce*|*|QueryStore|
*|*QDS*|*|QueryStore|

*|SQLServerLogMgr*|*|Logging|
*|RecoveryUnit*|*|Storage|
*|WaitLogWritten*|*|Logging|
*|LogFlush*|*|Logging|
*|HardenLog*|*|Logging|

*|BaseThreadInitThunk*|*|System|
*|RtlUserThreadStart*|*|System|

# --- Function rules (any class) --------------------------------------------------------------------------------------
*|*|GetRow*|RowAccess|
*|*|GetRowForKeyValue*|RowAccess|
*|*|ReleaseRow*|RowAccess|
*|*|OpenSystemTableRowset*|RowAccess|
*|*|ReleaseSystemTableRowset*|RowAccess|

*|*|DiskRead*|IoInfrastructure|
*|*|write_data*|IoInfrastructure|
*|*|flush_buffer*|IoInfrastructure|
*|*|JoinedIoCompletion*|IoInfrastructure|

*|*|AcquireLock*|Locking|
*|*|ReleaseLock*|Locking|
*|*|GetDataLock*|Locking|
*|*|GetHoBtLock*|Locking|
*|*|lck_*|Locking|
*|*|LockAndCheckState*|Locking|
*|*|CSQLLock*|Locking|

*|*|LogFlush*|Logging|
*|*|WaitLogWritten*|Logging|
*|*|HardenLog*|Logging|
*|*|WaitOnWriteAsyncToFinish*|Logging|

*|*|PqoBuild*|Optimization|
*|*|PrepareQuery*|Optimization|

*|*|BindTree*|QueryBinding|

*|*|FNormalize*|Compilation|

*|*|Publish*|XEventInfrastructure|
*|*|PublishWaitStatsXEvents*|XEventInfrastructure|

*|*|process_request*|QueryExecution|
*|*|process_commands*|QueryExecution|
*|*|process_messages*|QueryExecution|
*|*|ExecuteCommandsInAutoTransaction*|QueryExecution|

*|*|BaseThreadInitThunk*|System|
*|*|RtlUserThreadStart*|System|

*|*|OpenLockBytes*|LargeObjectStorage|
*|*|GetDataAsILockBytes*|LargeObjectStorage|
*|*|InitStatsBlobHeaderAttributes*|LargeObjectStorage|

*|*|AcquireGenericQdsDbAndProcess*|QueryStore|
*|*|FGetStatementContextIdAndEpoch*|QueryStore|
*|*|FindContextId*|QueryStore|
*|*|LlGetContextId*|QueryStore|
*|*|GetHintsToApply*|QueryStore|
*|*|GetOriginalQueryHash*|QueryStore|
*|*|GetPlanOrOptReplayScriptToForce*|QueryStore|
